id,document_type,original_text,annotated_text
1,"招标文件","本项目为[市政道路建设项目]，现进行公开招标，欢迎符合条件的[建筑公司]投标。投标截止日期为[2023-11-30]。","本项目为[项目名称]，现进行公开招标，欢迎符合条件的[投标方类型]投标。投标截止日期为[投标截止日期]。"
2,"标书","我司[建筑公司A]在此郑重投标，承诺按照招标文件要求完成[市政道路建设项目]。","我司[投标方名称]在此郑重投标，承诺按照招标文件要求完成[项目名称]。"
3,"评标报告","[专家甲]对[建筑公司A]的标书进行了评审，认为该公司在[道路施工经验]方面表现出色。","[专家名称]对[投标方名称]的标书进行了评审，认为该公司在[专业优势]方面表现出色。"
4,"答疑函件","针对[市政道路建设项目]的疑问，回复如下：[道路施工的具体技术要求可参考相关标准]。","针对[项目名称]的疑问，回复如下：[技术要求的具体信息]。"
5,"中标通知书","恭喜[建筑公司A]中标[市政道路建设项目]，请于[2023-12-10]前签订合同。","恭喜[投标方名称]中标[项目名称]，请于[合同签订日期]前签订合同。"
6,"招标文件","本次[数据中心服务器采购项目]采用[公开招标]方式，预算为[200万元]。","本次[项目名称]采用[招标方式]方式，预算为[项目预算]。"
7,"标书","我司[科技公司B]投标[数据中心服务器采购项目]，提供[高性能服务器]及[存储设备]。","我司[投标方名称]投标[项目名称]，提供[产品/服务信息]及[产品/服务信息]。"
8,"评标报告","[专家乙]对[科技公司B]的标书进行评估，认为其[服务器性能参数]满足要求。","[专家名称]对[投标方名称]的标书进行评估，认为其[技术指标]满足要求。"
9,"答疑函件","关于[数据中心服务器采购项目]的问题，[服务器配置可按我方提供的清单为准]。","关于[项目名称]的问题，[具体问题的回复]。"
10,"中标通知书","[科技公司B]中标[数据中心服务器采购项目]，中标金额为[190万元]。","[投标方名称]中标[项目名称]，中标金额为[中标金额]。"
